날짜,남컨물동량,남해2지선_가락IC-서부산TG_lag0,중앙선_대동IC-초정IC_lag10,부산신항선_진해IC-남문대교_lag0
2023-07-04,1807.6792452830186,-5982.112008368201,-3133.726075949367,-32.13861386138615
2023-07-05,-2059.242574257426,-5754.9712658227845,-1364.3281092436976,-56.44334975369475
2023-07-06,-639.1649484536083,-4978.623403361345,-492.41180672268905,-3.430693069307381
2023-07-07,-1175.865168539326,-1689.2076470588236,-2838.3844725738395,-357.1199999999999
2023-07-08,106.64000000000033,-2060.168953974895,-3121.7590336134454,-355.686567164179
2023-07-09,-1675.0736196319021,-1690.7318487394955,-3140.6997890295356,-33.134328358208904
2023-07-12,1392.757425742574,-2085.6312658227844,-1364.3281092436976,-159.44334975369475
2023-07-13,264.8350515463917,-1977.7834033613444,-492.41180672268905,-109.43069306930738
2023-07-15,-1657.3599999999997,-1542.278953974895,-3121.7590336134454,-126.686567164179
2023-07-16,3373.926380368098,-1674.9318487394953,-3140.6997890295356,-174.1343283582089
2023-07-19,1194.757425742574,-1549.9812658227847,-1364.3281092436976,1534.5566502463053
2023-07-20,2893.8350515463917,-1476.3334033613446,-492.41180672268905,1751.5693069306926
2023-07-22,589.6400000000003,-1338.9489539748952,-3121.7590336134454,325.313432835821
2023-07-23,-1602.0736196319021,-1481.1518487394953,-3140.6997890295356,-12.134328358208904
2023-07-26,-162.24257425742599,-1193.9112658227841,-1364.3281092436976,405.55665024630525
2023-07-27,2088.8350515463917,-1315.9134033613445,-492.41180672268905,661.5693069306926
2023-07-29,2558.6400000000003,-1446.7189539748952,-3121.7590336134454,-37.686567164178996
2023-07-30,240.92638036809785,-1495.2418487394955,-3140.6997890295356,-14.134328358208904
2023-08-02,3483.757425742574,-1928.8312658227846,-1364.3281092436976,-1354.4433497536947
2023-08-03,385.8350515463917,-2114.6434033613446,-492.41180672268905,-1275.4306930693074
2023-08-05,-2420.3599999999997,-1536.4489539748952,-3121.7590336134454,-218.686567164179
2023-08-07,2206.08,-1632.0758403361351,-3256.51474789916,-210.34158415841557
2023-08-11,-550.8651685393261,-639.6676470588236,-2838.3844725738395,795.8800000000001
2023-08-12,25.640000000000327,-757.588953974895,-3121.7590336134454,925.313432835821
2023-08-13,1644.9263803680979,-1274.7918487394954,-3140.6997890295356,110.8656716417911
2023-08-14,3193.08,-1303.155840336135,-3256.51474789916,1284.6584158415844
2023-08-15,-576.3207547169814,-2853.9020083682008,-3133.726075949367,-3198.138613861386
2023-08-16,-1746.242574257426,-1069.4012658227848,-1364.3281092436976,1069.5566502463053
2023-08-17,1562.8350515463917,-1213.7934033613446,-492.41180672268905,1495.5693069306926
2023-08-18,-1762.865168539326,-928.977647058824,-2838.3844725738395,1152.88
2023-08-19,-2001.3599999999997,-1304.708953974895,-3121.7590336134454,908.313432835821
2023-08-20,-104.07361963190215,-1306.9518487394955,-3140.6997890295356,109.8656716417911
2023-08-21,1892.08,-1452.365840336135,-3256.51474789916,1537.6584158415844
2023-08-23,-671.242574257426,-1099.5812658227842,-1364.3281092436976,1262.5566502463053
2023-08-24,-449.1649484536083,-1718.0534033613449,-492.41180672268905,485.5693069306926
2023-08-26,2612.6400000000003,-957.7389539748951,-3121.7590336134454,1091.313432835821
2023-08-27,825.9263803680979,-1047.9518487394955,-3140.6997890295356,282.8656716417911
2023-08-28,-1228.92,-1537.5158403361347,-3256.51474789916,1090.6584158415844
2023-08-29,4855.679245283019,-1542.6520083682008,-3133.726075949367,783.8613861386139
2023-08-30,3643.757425742574,-1451.8012658227844,-1364.3281092436976,348.55665024630525
