날짜,북컨물동량,남해선(순천-부산)_김해JC-동김해IC_lag0,남해선(순천-부산)_북부산TG-김해JC_lag0,중앙선_대감JC-대동IC_lag0,부산신항선_대청IC-진해IC_lag1
2023-09-15,2425.9951219512186,3218.984621848739,3359.3814830508472,767.8584937238502,-74.7246766169153
2023-09-16,484.43269230769147,1150.023474576271,654.9952542372882,158.31736401673606,-144.8641791044776
2023-09-17,-2184.1826923076915,366.48386554621845,579.5501260504201,55.885230125523094,652.5066336633663
2023-09-18,2484.995073891625,3901.182616033755,3667.419240506329,1620.006736401674,609.9466831683167
2023-09-19,-1584.8502415458934,3831.451772151898,3905.1313080168784,1865.4402092050204,446.6101970443351
2023-09-20,480.14009661835735,3652.1228691983115,3726.352616033755,1395.8213924050633,107.13490099009914
2023-09-21,1521.1207729468606,2845.8030672268906,3283.6961344537817,371.0541176470597,703.90895
2023-09-22,2002.9951219512186,3916.2946218487405,3716.0714830508477,1452.6084937238502,330.7753233830847
2023-09-23,3580.4326923076915,2275.0734745762707,2084.8652542372884,1255.937364016736,-108.85417910447762
2023-09-24,-2606.1826923076915,761.3538655462186,706.86012605042,375.7452301255232,779.5166336633665
2023-09-25,2123.995073891625,4644.022616033755,4098.34924050633,2143.9867364016736,627.8266831683168
2023-09-26,1839.1497584541066,4005.2717721518975,4055.0113080168776,2080.1502092050196,61.660197044334836
2023-09-27,1467.1400966183573,3198.6228691983115,3041.8226160337554,295.5113924050638,-2403.1450990099006
2023-09-28,738.1207729468606,-3415.626932773109,-994.2438655462181,-7475.52588235294,-2748.13105
2023-09-29,-6755.004878048781,-4768.77537815126,-1982.5085169491526,-8879.07150627615,-1142.2146766169153
2023-09-30,-1214.5673076923085,-1517.726525423729,-508.54474576271184,-2906.9126359832635,-100.34417910447763
2023-10-01,2503.8173076923085,69.5538655462185,237.2801260504201,-486.69476987447683,-1163.0233663366337
2023-10-02,3067.995073891625,-2448.077383966245,-523.6107594936709,-5901.9732635983255,-1471.1833168316832
2023-10-03,-2450.8502415458934,-2429.758227848102,-439.5686919831219,-6267.84979079498,65.75019704433498
2023-10-04,9380.140096618357,2894.7928691983116,3098.212616033755,48.43139240506389,654.0849009900994
2023-10-05,-1910.8792270531394,3919.653067226891,3674.626134453782,1092.4241176470587,752.11895
2023-10-06,-3473.0048780487814,4125.414621848739,4001.421483050847,1487.3684937238504,743.3653233830848
2023-10-07,-1691.5673076923085,2063.4534745762708,1897.1952542372883,985.9773640167359,-66.01417910447765
2023-10-08,-5937.1826923076915,428.3138655462184,476.10012605042016,-63.094769874476924,-475.88336633663357
2023-10-09,-4390.004926108375,-1111.297383966245,356.80924050632893,-4266.953263598326,476.7966831683166
2023-10-10,-655.8502415458934,3242.761772151899,3482.6313080168784,614.7602092050201,649.190197044335
2023-10-11,-316.85990338164265,3865.682869198311,3733.4926160337545,1321.7113924050627,817.9349009900993
2023-10-12,-911.8792270531394,1574.703067226891,3757.0561344537823,1085.56411764706,726.2789499999999
2023-10-13,-3032.0048780487814,428.6446218487399,3572.831483050847,1216.3984937238492,324.71532338308475
2023-10-14,464.43269230769147,325.4534745762712,1840.8352542372882,663.8873640167367,12.7458208955224
2023-10-15,-3120.1826923076915,212.21386554621847,732.6601260504202,343.59523012552313,694.2166336633663
2023-10-16,2676.995073891625,475.06261603375515,3602.709240506329,1498.666736401674,724.836683168317
2023-10-17,-1426.8502415458934,611.9817721518984,3867.5113080168776,1412.7002092050207,395.44019704433504
2023-10-18,-1940.8599033816427,1916.2328691983112,3623.6226160337546,1112.3313924050635,410.3749009900994
2023-10-19,1203.1207729468606,1685.783067226891,3571.866134453782,737.9341176470589,116.24895000000015
2023-10-20,-3312.0048780487814,1852.2646218487398,3393.4814830508476,726.1584937238495,-44.994676616915285
2023-10-21,-1668.5673076923085,923.653474576271,1708.8852542372883,399.92736401673665,-55.28417910447763
2023-10-22,4542.8173076923085,681.3838655462185,717.8001260504201,357.6052301255231,397.2566336633663
2023-10-23,1521.995073891625,3231.0426160337547,3518.7792405063287,1353.2267364016734,445.1866831683169
2023-10-24,1667.1497584541066,3636.9417721518976,3670.831308016878,1094.92020920502,515.4501970443348
2023-10-25,-2274.8599033816427,3756.682869198311,3750.8726160337546,1274.3413924050637,349.46490099009907
2023-10-26,3079.1207729468606,3533.2930672268903,3610.2261344537824,872.0641176470599,283.0689500000003
2023-10-27,5217.995121951219,3387.9146218487394,3316.6914830508476,611.5384937238505,112.39532338308459
