날짜,북컨물동량,남해선(순천-부산)_김해JC-동김해IC_lag0,남해선(순천-부산)_북부산TG-김해JC_lag0,중앙선_대감JC-대동IC_lag0,부산신항선_대청IC-진해IC_lag1
2022-08-01,8024.995073891625,-217.5873839662454,1643.6792405063293,-1902.7632635983264,-1692.851485148516
2022-08-02,-230.85024154589337,-133.73822784810181,1833.761308016878,-2068.0097907949803,-1410.5714285714275
2022-08-03,-1649.8599033816427,-272.6671308016885,1602.782616033755,-2573.398607594937,-767.9108910891082
2022-08-04,4449.120772946861,72.323067226891,2107.506134453782,-2097.4158823529406,-688.7000000000007
2022-08-05,-1293.0048780487814,167.34462184873973,2103.6814830508474,-1819.9515062761502,1218.233830845771
2022-08-06,4542.4326923076915,121.15347457627104,971.3352542372882,-435.0626359832636,1087.8457711442788
2022-08-07,-1803.1826923076915,214.39386554621854,474.7001260504202,76.60523012552312,-3765.1732673267325
2022-08-08,-1427.004926108375,1430.5326160337545,3071.959240506329,506.6067364016744,173.14851485148392
2022-08-09,-2103.8502415458934,1654.0117721518982,3361.1813080168777,840.3802092050191,648.4285714285725
2022-08-10,-500.85990338164265,1612.892869198312,3446.732616033755,948.101392405064,755.0891089108918
2022-08-11,1999.1207729468606,1289.6430672268907,3269.286134453782,126.76411764705881,1418.2999999999993
2022-08-12,-5400.004878048781,1288.39462184874,2995.5114830508473,144.0584937238491,2958.233830845771
2022-08-13,782.4326923076915,799.8934745762713,1467.995254237288,521.7673640167359,2495.845771144279
2022-08-14,46.81730769230853,60.92386554621851,357.22012605042016,-180.10476987447691,-4042.1732673267325
2022-08-15,-4382.004926108375,-2252.6673839662453,-45.020759493670994,-4761.043263598326,-89.85148514851608
2022-08-16,-37.85024154589337,1011.5917721518981,2941.8513080168777,-224.71979079497942,1089.4285714285725
2022-08-17,-2651.8599033816427,836.1828691983119,2709.342616033755,-408.0486075949375,2299.089108910892
2022-08-18,4902.120772946861,1758.0430672268913,3441.336134453782,365.59411764705874,1887.2999999999993
2022-08-19,1783.9951219512186,1909.9546218487394,3562.201483050847,1277.9484937238503,455.2338308457711
2022-08-20,7933.4326923076915,891.0234745762709,1797.915254237288,709.3373640167365,1266.8457711442788
2022-08-21,-2789.1826923076915,265.4338655462185,499.22012605042016,-14.16476987447686,1646.8267326732675
2022-08-22,-1196.004926108375,2456.092616033755,3876.829240506329,1782.336736401674,806.1485148514839
2022-08-23,1244.1497584541066,2160.211772151898,3740.4713080168776,1159.790209205019,859.4285714285725
2022-08-24,-370.85990338164265,1086.5328691983113,2945.232616033755,-86.25860759493662,1620.0891089108918
2022-08-25,993.1207729468606,2151.283067226891,3738.0661344537816,820.1241176470594,1850.2999999999993
2022-08-26,-132.0048780487814,2526.2446218487394,3844.781483050848,1346.0484937238489,2390.233830845771
2022-08-27,-6219.5673076923085,1315.863474576271,1930.2752542372882,645.6973640167362,2025.8457711442788
2022-08-28,-3854.1826923076915,323.1638655462185,559.3901260504201,49.2652301255232,1988.8267326732675
2022-08-29,-141.004926108375,2486.232616033755,3767.329240506329,1454.6767364016741,1191.148514851484
2022-08-30,6392.149758454107,1957.7217721518982,3880.081308016878,1055.6102092050205,-3.571428571427532
2022-08-31,2287.1400966183573,446.96286919831164,2892.432616033755,-368.27860759493706,760.0891089108918
2022-09-01,-5304.879227053139,809.4430672268909,2906.1361344537822,-886.8558823529402,926.2999999999993
2022-09-02,3980.9951219512186,1608.5546218487398,3330.7214830508474,496.9284937238499,331.2338308457711
2022-09-03,-996.5673076923085,1002.883474576271,1854.955254237288,775.0773640167363,-203.15422885572116
2022-09-04,-3408.1826923076915,249.00386554621844,545.8401260504202,-31.214769874476815,-3508.1732673267325
2022-09-07,-3627.8599033816427,2813.312869198312,4041.8326160337547,1637.9913924050634,3994.089108910892
2022-09-08,-25.879227053139402,1475.8030672268906,2999.8161344537816,-247.94588235294032,-5125.700000000001
2022-09-09,5682.995121951219,-3638.8653781512603,-1027.5285169491526,-7284.24150627615,1320.233830845771
2022-09-10,-6967.5673076923085,-2059.556525423729,-838.5947457627119,-3471.722635983264,4677.845771144279
2022-09-11,-1913.1826923076915,-369.7361344537815,11.930126050420142,-838.7347698744768,-3843.1732673267325
2022-09-12,545.995073891625,-3436.327383966245,-931.720759493671,-6760.943263598326,477.1485148514839
2022-09-13,-382.85024154589337,1120.921772151898,2893.031308016878,-885.6497907949797,1875.4285714285725
2022-09-14,-3077.8599033816427,2403.062869198312,3758.172616033755,927.0813924050635,1611.0891089108918
2022-09-15,618.1207729468606,2176.5430672268913,3692.376134453782,637.6641176470603,1749.2999999999993
2022-09-16,-300.0048780487814,2485.93462184874,3869.461483050847,1739.1884937238501,1489.233830845771
2022-09-17,-1518.5673076923085,1165.403474576271,1880.7752542372882,728.4173640167364,21.845771144278842
2022-09-20,-2033.8502415458934,2529.2817721518986,3934.0513080168785,1218.5202092050204,1904.4285714285725
2022-09-21,2038.1400966183573,2524.5028691983116,3853.8326160337547,1403.181392405064,1424.0891089108918
2022-09-22,179.1207729468606,2238.3530672268907,3779.9761344537824,874.2441176470602,2641.2999999999993
2022-09-23,3.995121951218607,2725.06462184874,3926.911483050847,1726.2484937238496,2397.233830845771
2022-09-24,3909.4326923076915,1418.9134745762713,1982.265254237288,877.1573640167362,1392.8457711442788
2022-09-25,354.81730769230853,360.5138655462184,603.9101260504201,119.2752301255232,1683.8267326732675
2022-09-26,-695.004926108375,2418.482616033755,3881.0692405063287,1663.8267364016738,1205.148514851484
2022-09-27,3818.1497584541066,2211.171772151898,3880.371308016878,1022.1402092050193,2028.4285714285725
2022-09-28,-1123.8599033816427,2167.062869198312,3647.022616033755,999.7613924050638,2134.089108910892
2022-09-29,3607.1207729468606,2223.2230672268906,3844.1361344537822,1071.7841176470592,2485.2999999999993
2022-09-30,1107.9951219512186,2197.944621848739,3669.961483050847,863.138493723849,3298.233830845771
2022-10-01,6092.4326923076915,1058.2434745762712,1726.1252542372881,431.37736401673646,2986.845771144279
2022-10-02,-3607.1826923076915,121.88386554621843,400.5301260504201,-222.09476987447692,-3976.1732673267325
2022-10-03,5805.995073891625,-2215.257383966245,14.279240506329188,-4844.583263598326,76.14851485148392
2022-10-04,1194.1497584541066,1668.4017721518985,3321.5413080168782,123.18020920502022,1508.4285714285725
2022-10-05,-3002.8599033816427,1863.602869198312,3411.852616033755,648.3013924050629,1160.0891089108918
2022-10-06,-1050.8792270531394,1712.2330672268909,3563.586134453782,378.1341176470596,2411.2999999999993
2022-10-07,-3310.0048780487814,2290.194621848739,3678.6814830508474,1013.59849372385,4057.233830845771
2022-10-08,-6833.5673076923085,1338.4934745762712,1878.6752542372883,654.7573640167366,2233.845771144279
2022-10-09,1081.8173076923085,232.52386554621842,514.5501260504201,-11.864769874476906,-4135.1732673267325
2022-10-10,-3660.004926108375,-2061.117383966245,88.38924050632886,-4911.2232635983255,-76.85148514851608
2022-10-11,-2372.8502415458934,1392.2217721518982,3174.081308016878,-0.8397907949802175,1525.4285714285725
