날짜,북컨물동량,남컨물동량,서컨물동량,남해2지선_가락IC-서부산TG,남해2지선_서부산IC-가락IC,남해선(순천-부산)_김해JC-동김해IC,남해선(순천-부산)_북부산TG-김해JC,부산신항선_남진례IC-대청IC,부산신항선_대청IC-진해IC,부산신항선_진례JC-남진례IC,부산신항선_진해IC-남문대교,중앙선_대감JC-대동IC,중앙선_대동IC-초정IC
2022-08-01,17911.0,4311.0,0.0,0.0,19900.41,4582.32,3729.76,1447.77,2279.33,,597.43,,
2022-08-02,9691.0,1630.0,0.0,0.0,14647.63,5024.45,4071.73,1529.19,2468.16,,684.59,,
2022-08-03,8174.0,13229.0,0.0,0.0,16852.44,4796.79,3856.98,1430.7,2290.32,,607.51,,
2022-08-04,14618.0,6404.0,0.0,0.0,16417.86,5379.09,4399.8,1565.33,2445.82,,677.53,,
2022-08-05,8698.0,5803.0,0.0,0.0,15601.97,5273.84,4322.96,1674.75,2589.72,,681.74,,
2022-08-06,14215.0,5502.0,0.0,0.0,8677.74,2440.27,2026.75,770.22,1318.58,,199.27,,
2022-08-07,7892.0,6643.0,0.0,0.0,6531.3,1027.43,831.7,347.43,594.51,,59.13,,
2022-08-08,8459.0,5015.0,0.0,0.0,16947.29,6230.44,5158.04,1250.22,1938.89,,525.14,,
2022-08-09,7818.0,3223.0,0.0,0.0,17442.48,6812.2,5599.15,1804.8,2737.46,,816.06,,
2022-08-10,9323.0,7584.0,0.0,0.0,19424.46,6682.35,5700.93,1880.43,2839.07,,795.35,,
2022-08-11,12168.0,2627.0,0.0,0.0,18783.33,6596.41,5561.58,1956.08,2921.75,,831.86,,
2022-08-12,4591.0,,0.0,0.0,17897.63,6394.89,5214.79,2059.28,3088.35,,841.47,,
2022-08-13,10455.0,6532.0,0.0,0.0,9236.34,3119.01,2523.41,1182.8,1892.61,,289.85,,
2022-08-14,9742.0,4296.0,0.0,0.0,4408.59,873.96,714.22,321.23,566.27,,54.3,,
2022-08-15,5504.0,3441.0,0.0,0.0,13543.18,2547.24,2041.06,1050.29,1734.2,,258.62,,
2022-08-16,9884.0,10387.0,0.0,0.0,19057.96,6169.78,5179.82,1750.84,2678.89,,786.92,,
2022-08-17,7172.0,5618.0,0.0,0.0,16223.34,5905.64,4963.54,1985.38,2951.72,,927.01,,
2022-08-18,15071.0,2141.0,0.0,0.0,16991.48,7064.81,5733.63,2210.84,3332.85,,1051.56,,
2022-08-19,11775.0,7833.0,0.0,0.0,16379.29,7016.45,5781.48,2185.63,3251.65,,933.62,,
2022-08-20,17606.0,5304.0,0.0,0.0,9627.01,3210.14,2853.33,907.74,1504.67,,260.44,,
2022-08-21,6906.0,7178.0,0.0,0.0,7380.03,1078.47,856.22,307.29,536.47,,59.66,,
